Project Name,Google Search Spent,Google Search Lead,Google Search CPL,Google Discovery Spent,Google Discovery Lead,Google Discovery CPL,Google Total Spent,Google Total Lead,Google Total CPL,Facebook Spent,Facebook Leads,Facebook CPL,Taboola Ads Spent,Taboola Ads Lead,Taboola Ads CPL,TOTAL Spent,TOTAL Leads,TOTAL CPL
Gera Hinjewadi ,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,
K Raheja Mahalunge,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,
Kohinoor Central Park,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,
Kohinoor Regalia Towers,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,
Kohinoor Royale Tower/Riverside,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,
Lodha Altero,277785.48,37.0,7508.0,30526.070000000003,71.0,430.0,308311.55,108.0,2855.0,26392.130000000005,41.0,644.0,16775.100000000002,10.0,1678.0,351478.77999999997,159.0,2211.0
Lodha Camelot,25653.46,0.0,,0.0,,,25653.46,0.0,,46753.22,45.0,1039.0,3515.13,1.0,3515.0,75921.80999999998,46.0,1650.0
Lodha Estilo,11661.039999999999,0.0,,3005.71,0.0,,14666.75,0.0,,13458.0,140.0,96.0,1422.2,2.0,711.0,29546.95,142.0,208.0
Lodha Hinjewadi Phase 3,114857.08,25.0,4594.0,111060.98000000001,94.0,1181.0,225918.06,119.0,1898.0,74448.76999999999,87.0,856.0,33697.85,28.0,1203.0,334064.68000000005,234.0,1428.0
Lodha Kharadi,,0.0,,0.0,,,,,,5276.21,7.0,754.0,,,,5276.21,7.0,754.0
Lodha Massimo,260802.1,36.0,7245.0,5377.329999999998,0.0,,266179.43,36.0,7394.0,15412.999999999998,22.0,701.0,13893.590000000002,6.0,2316.0,295486.01999999996,64.0,4617.0
Lodha Magnus,232422.06,48.0,4842.0,63953.21,23.689999999999998,2700.0,296375.26999999996,71.69,4134.0,41831.61,35.0,1195.0,248.69,1.0,249.0,338455.57,107.69,3143.0
Lodha Panache,70462.76000000001,9.0,7829.0,18783.84,9.0,2087.0,89246.6,18.0,4958.0,62696.96000000001,73.0,859.0,17710.710000000003,14.0,1265.0,169654.27,105.0,1616.0
Lodha Phase 1 Generic,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,
Mahindra Citadel,88901.99,25.0,3556.0,25671.42000000001,14.0,1834.0,114573.40999999999,39.0,2938.0,12905.720000000001,8.0,1613.0,19031.22,30.0,634.0,146510.35000000003,77.0,1903.0
Mahindra Happinest Tathawade,865.44,0.0,,0.0,,,865.44,0.0,,19956.58,40.0,499.0,,,,20822.02,40.0,521.0
Mahindra Ivylush,91674.79000000001,21.5,4264.0,49317.27,26.5,1861.0,140992.06000000003,48.0,2937.0,63055.88999999999,54.0,1168.0,19423.199999999997,17.0,1143.0,223471.15,119.0,1878.0
Mahindra Commercial Pune,33550.06,37.0,907.0,24959.260000000002,11.0,2269.0,58509.32000000001,48.0,1219.0,34864.369999999995,133.0,262.0,,,,93373.69,181.0,516.0
Saheel Landmarc,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,
Saheel Vesta,7903.79,4.0,1976.0,0.0,,,7903.79,4.0,1976.0,,,,,,,7903.79,4.0,1976.0
Shapoorji Joyville Celestia ,183214.68000000002,51.96,3526.0,0.0,0.0,,183214.68000000002,51.96,3526.0,22538.71,35.0,644.0,16758.859999999997,23.0,729.0,222512.25,109.96,2024.0
Shapoorji Pallonji Golfland Vanaha/Verdant,579143.8699999999,142.94,4052.0,11798.130000000003,44.0,268.0,590941.9999999999,186.94,3161.0,71340.98000000001,230.0,310.0,57247.630000000005,56.0,1022.0,719530.6099999998,472.94,1521.0
Shapoorji Pallonji Plots,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,
Shapoorji Sensorium,11454.39,1.0,11454.0,0.0,,,11454.39,1.0,11454.0,4186.79,2.0,2093.0,,,,15641.18,3.0,5214.0
Shapoorji Wildernest,53553.079999999994,5.0,10711.0,5777.9,0.0,,59330.979999999996,5.0,11866.0,35352.990000000005,51.0,693.0,26290.95,6.0,4382.0,120974.92,62.0,1951.0
Shapoorji Kingstown,,0.0,,3091.86,0.0,,3091.86,0.0,,21825.670000000002,33.0,661.0,,,,24917.530000000002,33.0,755.0
VTP Kharadi - Altair / Altamira ,,0.0,,0.0,,,,,,24003.6,23.0,1044.0,11636.34,7.0,1662.0,35639.94,30.0,1188.0
VTP Aurelia,,0.0,,0.0,,,,,,24024.97,19.0,1264.0,10203.89,2.0,5102.0,34228.86,21.0,1630.0
VTP Bavdhan - Cielo ,,0.0,,0.0,,,,,,22188.260000000002,44.0,504.0,14895.55,7.0,2128.0,37083.81,51.0,727.0
VTP Cygnus,,0.0,,0.0,,,,,,,,,3773.9900000000002,0.0,,3773.9900000000002,0.0,
VTP Mahalunge - EarthOne ,0.0,0.0,,15327.06,6.0,2555.0,15327.06,6.0,2555.0,9928.949999999999,28.0,355.0,14228.439999999999,12.0,1186.0,39484.45,46.0,858.0
VTP Hinjewadi - Monarque/Highflyers,2192.7,2.0,1096.0,24599.73,8.0,3075.0,26792.43,10.0,2679.0,28618.05,31.0,923.0,13378.470000000001,11.0,1216.0,68788.95,52.0,1323.0
VTP Platter West ,64007.8,39.629999999999995,1615.0,1054.14,0.0,,65061.94,39.629999999999995,1642.0,1940.8,0.0,,,0.0,,67002.73999999999,39.629999999999995,1691.0
VTP Volare,0.0,0.0,,17914.23,1.0,17914.0,17914.23,1.0,17914.0,15369.280000000002,9.0,1708.0,14625.25,11.0,1330.0,47908.759999999995,21.0,2281.0
Total,3062138.2799999993,792.03,3866.0,925073.0299999999,750.27,1233.0,3987211.3100000005,1542.3000000000002,2585.0,1239594.7499999998,2211.0,561.0,379397.9199999999,306.0,1240.0,5606203.98,4059.3,1381.0
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Project Name,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Adani Airica Kanjurmarg,,0.0,,0.0,,,,,,1797.2,6.0,300.0,,,,1797.2,6.0,300.0
Arvind Aqua City,8746.96,7.0,1250.0,0.0,,,8746.96,7.0,1250.0,446.05,3.0,149.0,,,,9193.01,10.0,919.0
Arvind Everland Ahmedabad/ Upland Plots,,0.0,,7250.1,12.0,604.0,7250.1,12.0,604.0,4785.93,24.0,199.0,7358.18,40.0,184.0,19394.21,76.0,255.0
Arvind Vadodara Gujarat,287189.37,87.0,3301.0,68698.72,135.48000000000002,507.0,355888.09,222.48000000000002,1600.0,75249.76000000001,653.0,115.0,207193.80000000002,255.0,813.0,638331.6500000001,1130.48,565.0
Birla Niyaara / Silas,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,
Birla Thane Mumbai,54983.9,5.0,10997.0,62941.2,17.0,3702.0,117925.1,22.0,5360.0,315478.96,435.0,725.0,144162.27,75.0,1922.0,577566.33,532.0,1086.0
Casa Mangolia Mumbai,,0.0,,0.0,,,,,,13213.18,13.0,1016.0,,,,13213.18,13.0,1016.0
Generic Mahim Sea Facing,,0.0,,0.0,,,,,,9883.16,18.0,549.0,,,,9883.16,18.0,549.0
Generic Sewri Sea Facing,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,
Generic Worli Sea Facing,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,
Hiranandani Bandra Bay,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,
Hiranandani Fortune City,,0.0,,0.0,,,,,,29986.87,36.0,833.0,6745.310000000001,3.0,2248.0,36732.18,39.0,942.0
Hiranandani Westgate,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,
Kalpataru Mumbai Platter,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,
L & T Elixir Powai,173574.38,28.0,6199.0,36005.12999999999,9.97,3611.0,209579.51,37.97,5520.0,7038.88,45.0,156.0,30202.660000000003,31.0,974.0,246821.05,113.97,2166.0
L & T Island Cove Mahim,0.0,0.0,,33152.55,13.0,2550.0,33152.55,13.0,2550.0,33336.62,50.0,667.0,23380.46,2.0,11690.0,89869.63,65.0,1383.0
L & T Panvel,142001.68,22.0,6455.0,141382.19,120.0,1178.0,283383.87,142.0,1996.0,180650.3,245.0,737.0,84705.87999999998,130.0,652.0,548740.05,517.0,1061.0
L & T The Gateway Sewri,0.0,0.0,,39077.32,39.0,1002.0,39077.32,39.0,1002.0,36668.11000000001,123.0,298.0,,,,75745.42999999998,162.0,468.0
L&T 77 Cross Road,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,
L&T West Square/Seawood,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,
 L&T Evara Heights Thane,,,,,,,,,,235.52,0.0,,,,,235.52,0.0,
Lodha Adrina,0.0,0.0,,45505.57000000001,38.0,1198.0,45505.57000000001,38.0,1198.0,27206.53,60.0,453.0,30964.120000000003,40.0,774.0,103676.22000000002,138.0,751.0
Lodha Alibag ,89279.22,7.0,12754.0,30555.039999999997,78.67,388.0,119834.26,85.67,1399.0,48769.61,124.0,393.0,118659.15,203.0,585.0,287263.01999999996,412.67,696.0
Lodha Bellevue / Mahalaxmi ,121807.84000000001,40.96,2974.0,62820.34,22.0,2855.0,184628.17999999996,62.96,2932.0,208896.55999999997,314.0,665.0,16451.17,9.0,1828.0,409975.91,385.96,1062.0
Lodha casa Belvedere,831.06,1.62,513.0,41548.17999999999,16.09,2582.0,42379.24,17.71,2393.0,20791.090000000004,11.0,1890.0,14023.310000000001,8.0,1753.0,77193.64,36.71,2103.0
Lodha Corinthia,51790.7,6.0,8632.0,3557.1,0.0,,55347.8,6.0,9225.0,41746.380000000005,112.0,373.0,66243.59999999999,63.0,1051.0,163337.78,181.0,902.0
Lodha Crown Kolshet,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,
Lodha Divino,46533.56,15.0,3102.0,0.0,0.0,,46533.56,15.0,3102.0,,,,51784.65,51.0,1015.0,98318.21000000002,66.0,1490.0
Lodha Jogeshwari/Unichem,194217.83000000005,20.009999999999998,9706.0,27958.619999999995,23.86,1172.0,222176.44999999998,43.870000000000005,5064.0,46582.04999999999,53.0,879.0,37165.36,19.0,1956.0,305923.8599999999,115.87,2640.0
Lodha Khopoli Plots,11512.36,1.0,11512.0,3743.8800000000006,2.0,1872.0,15256.24,3.0,5085.0,81666.25999999997,84.0,972.0,30297.84,31.0,977.0,127220.34000000001,118.0,1078.0
Lodha NCP Wadala/Lumis,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,
Lodha Opulis Palava,182988.59,42.910000000000004,4264.0,43210.14999999999,26.09,1656.0,226198.74000000002,69.0,3278.0,24231.429999999997,60.0,404.0,25976.43,0.0,,276406.6,129.0,2143.0
Lodha Palava Casa Premier,398912.48,153.01999999999998,2607.0,55627.25,44.0,1264.0,454539.73,197.01999999999998,2307.0,36098.579999999994,53.0,681.0,74274.21,66.0,1125.0,564912.52,316.02,1788.0
Lodha Platter Mumbai,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,
Lodha Premium/Elanor,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,
Lodha Riservo Vikhroli/Elaris,118610.60999999999,36.0,3295.0,53220.32000000001,19.97,2665.0,171830.92999999996,55.97,3070.0,64188.270000000004,107.0,600.0,25127.930000000004,13.0,1933.0,261147.13000000003,175.97,1484.0
Lodha Sewri,50784.659999999996,10.0,5078.0,89146.54999999999,48.0,1857.0,139931.21,58.0,2413.0,23668.16,50.0,473.0,11357.279999999999,9.0,1262.0,174956.64999999997,117.0,1495.0
Lodha Serenity Mumbai,,0.0,,0.0,,,,,,9750.56,6.0,1625.0,,,,9750.56,6.0,1625.0
Lodha Signet Vikhroli,,0.0,,0.0,,,,,,18404.61,16.0,1150.0,,,,18404.61,16.0,1150.0
Lodha 89 Casa Magnolia,,0.0,,0.0,,,,,,22581.43,30.0,753.0,,,,22581.43,30.0,753.0
Lodha Stella,,0.0,,0.0,,,,,,31302.02,34.0,921.0,,,,31302.02,34.0,921.0
Mahalaxmi Platter,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,
Mahindra Marina Malad,,0.0,,0.0,,,,,,,,,,,,0.0,,
Mahindra Vista Kandivali,35231.28,10.0,3523.0,1838.5100000000002,0.0,,37069.79,10.0,3707.0,2247.8,,,9057.05,0.0,,48374.64000000001,,
Prestige Mira Road / Dahisar/Garden Trails,,0.0,,0.0,,,,,,,,,,,,0.0,,
Prestige Nautilus worli ,,0.0,,0.0,,,,,,,,,,,,0.0,,
Prestige Ocean Tower,,0.0,,0.0,,,,,,,,,,,,0.0,,
Prestige Siesta/Forest Hills,,0.0,,0.0,,,,,,,,,,,,0.0,,
Provident Adora De Goa ,,0.0,,0.0,,,,,,,,,,,,0.0,,
Purva Lokhandwala,38841.09,2.0,19421.0,56578.7,45.0,1257.0,95419.79,47.0,2030.0,177714.67,,,79437.65999999999,104.0,764.0,352572.12,,
Purva Panorama,307776.76,34.69,8872.0,95189.11000000002,37.93,2510.0,402965.87,72.62,5549.0,55261.450000000004,,,24733.07,2.0,12367.0,482960.38999999996,,
Raheja Amaltis,,0.0,,0.0,,,,,,,,,,,,0.0,,
Raheja Antares Kanjurmarg ,,0.0,,0.0,,,,,,,,,,,,0.0,,
Raheja Jade City Juinagar,,0.0,,0.0,,,,,,,,,,,,0.0,,
Raymond Invictus,,0.0,,0.0,,,,,,228.84,,,607.79,3.0,203.0,836.63,,
Raymond Wadala,,,,,,,,,,,,,,,,0.0,,
Runwal 25 Hours Thane,,0.0,,0.0,,,,,,,,,,,,0.0,,
Runwal Garden,,0.0,,0.0,,,,,,,,,,,,0.0,,
Shapoorji Codename Zest,,0.0,,0.0,,,,,,1488.8600000000001,,,11632.84,4.0,2908.0,13121.699999999999,,
Shapoorji Impulse Commericial,,0.0,,0.0,,,,,,,,,,,,0.0,,
Shapoorji Pallonji Minerva,,0.0,,0.0,,,,,,,,,,,,0.0,,
Shapoorji Pallonji Northern Lights ,3676.6099999999997,0.0,,10605.57,4.0,2651.0,14282.18,4.0,3571.0,11424.310000000003,,,16188.19,18.0,899.0,41894.68,,
Shapoorji Pallonji Santacruz,,0.0,,0.0,,,,,,12835.29,,,12143.990000000002,12.0,1012.0,24979.28,,
Sobha Inizio Parel,,0.0,,0.0,,,,,,,,,,,,0.0,,
Total,2319290.94,529.21,4383.0,1009612.1,752.06,1342.0,3328903.04,1281.27,2598.0,1675855.3000000003,,,1159874.2,1191.0,974.0,6164632.540000001,,
